lat,lng,comuna,cod_comuna,tipo_soporte,categoria,h3,h6,h8,id,name,slug,sku,url,icon,index_right,nom_reg,nom_prov,nom_com,shape_leng,dis_elec,cir_sena,shape_le_1,shape_area
-33.5109208,-70.6567885,San Miguel,01313,billboard,tradicional,83b2c5fffffffff,86b2c5467ffffff,88b2c54609fffff,1e3280e0-6a2c-48cc-b3a9-92b5f390aca8,Terracero Gran Av. José Miguel Carrera 6070 Metro Ciudad del Niño - Cara 2,terracero-gran-av-jose-miguel-carrera-6070-metro-ciudad-del-nino-cara-2,,https://maps.oohpublicidad.cl/espacios-publicitarios/terracero-gran-av-jose-miguel-carrera-6070-metro-ciudad-del-nino-cara-2/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-billboard.png,39,Región Metropolitana de Santiago,Santiago,San Miguel,13311.6413035,28,8,13305.9266982,9635028.27913
-33.4017511,-70.5772259,Las Condes,01311,otro,otros,83b2c5fffffffff,86b2c519fffffff,88b2c519e5fffff,827e10aa-c6c5-4225-aa20-650fb07c5ab1,Boulevard 1 - Nivel 1 - Parque Arauco - 1 semana,boulevard-1-nivel-1-parque-arauco-1-semana,,https://maps.oohpublicidad.cl/espacios-publicitarios/boulevard-1-nivel-1-parque-arauco-1-semana/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-misc.png,46,Región Metropolitana de Santiago,Santiago,Las Condes,51230.563241,23,8,51374.3490068,98396073.9932
-33.4877,-70.5778,Peñalolén,01312,billboard,tradicional,83b2c5fffffffff,86b2c5097ffffff,88b2c50b37fffff,c54520da-9506-4ad2-a8a7-451b35c1a385,Calle interior de estacionamientos frente a Jhonson (2 Caras) - Peñalolen,calle-interior-de-estacionamientos-frente-a-jhonson-penalolen,,https://maps.oohpublicidad.cl/espacios-publicitarios/calle-interior-de-estacionamientos-frente-a-jhonson-penalolen/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-billboard.png,31,Región Metropolitana de Santiago,Santiago,Peñalolén,36618.9716947,24,8,36636.8129987,53468188.467
-33.4872,-70.5773,Peñalolén,01312,mall,retail,83b2c5fffffffff,86b2c5097ffffff,88b2c50b37fffff,cb075d4b-2af0-4890-8bae-a3f742417f64,Costado de ingreso del Metro (Sector bancos) (2 caras) - Peñalolen,costado-de-ingreso-del-metro-sector-bancos-2-caras-penalolen,,https://maps.oohpublicidad.cl/espacios-publicitarios/costado-de-ingreso-del-metro-sector-bancos-2-caras-penalolen/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-mall.png,31,Región Metropolitana de Santiago,Santiago,Peñalolén,36618.9716947,24,8,36636.8129987,53468188.467
-33.4815197,-70.7519705,Maipú,01311,otro,otros,83b2c5fffffffff,86b2c542fffffff,88b2c542d5fffff,d8b3cc26-fcb4-44d4-8074-a99222a7a37f,Estacionamientos - Nivel 1 - Arauco Maipú - 1 semana,estacionamientos-nivel-1-arauco-maipu-1-semana,,https://maps.oohpublicidad.cl/espacios-publicitarios/estacionamientos-nivel-1-arauco-maipu-1-semana/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-misc.png,48,Región Metropolitana de Santiago,Santiago,Maipú,61424.9825258,20,7,61429.4698359,138038031.124
-33.4877,-70.5778,Peñalolén,01312,mall,retail,83b2c5fffffffff,86b2c5097ffffff,88b2c50b37fffff,59e8e1af-8427-40b9-abfb-d2787414246d,Caja de Luz - Estacionamiento - Mall Quilin,mall-quilin-caja-de-luz-penalolen,,https://maps.oohpublicidad.cl/espacios-publicitarios/mall-quilin-caja-de-luz-penalolen/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-mall.png,31,Región Metropolitana de Santiago,Santiago,Peñalolén,36618.9716947,24,8,36636.8129987,53468188.467
-33.4488897,-70.6692655,Santiago,01310,bus,transporte,83b2c5fffffffff,86b2c5547ffffff,88b2c5543bfffff,7ca6ab80-86b2-477f-b0ec-4b831635b88e,Circuito Troncal 5 - 50 Valla Bus,circuito-50-valla-bus-troncal-5,,https://maps.oohpublicidad.cl/espacios-publicitarios/circuito-50-valla-bus-troncal-5/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-bus.png,40,Región Metropolitana de Santiago,Santiago,Santiago,24644.0186193,22,7,22142.6600555,22769994.7897
-33.4488897,-70.6692655,Santiago,01310,bus,transporte,83b2c5fffffffff,86b2c5547ffffff,88b2c5543bfffff,b202088e-3f22-487f-92be-89e8a29e5b30,Circuito - Troncal 5 - 100 Valla Bus,circuito-100-valla-bus-troncal-5,,https://maps.oohpublicidad.cl/espacios-publicitarios/circuito-100-valla-bus-troncal-5/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-bus.png,40,Región Metropolitana de Santiago,Santiago,Santiago,24644.0186193,22,7,22142.6600555,22769994.7897
-33.4064486,-70.7279376,Renca,01312,taxi,transporte,83b2c5fffffffff,86b2c5577ffffff,88b2c5573dfffff,39d6f88f-7083-4b24-8c46-744b6a3b3e72,Luneta Colectivo Renca - 30 Lunetas,luneta-colectivo-renca-30-lunetas,,https://maps.oohpublicidad.cl/espacios-publicitarios/luneta-colectivo-renca-30-lunetas/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-taxi.png,38,Región Metropolitana de Santiago,Santiago,Renca,28974.9567113,17,7,28770.7217302,24011796.166
-33.396934,-70.497757,Las Condes,01311,billboard,tradicional,83b2c5fffffffff,86b2c518fffffff,88b2c518a9fffff,857e8db9-d9df-4544-a471-23b73546339c,Topsite 3 Camino Las Flores  - Tenis Equitación Acceso a Club House,totem-av-las-flores-n-3a-acceso-a-club-house,,https://maps.oohpublicidad.cl/espacios-publicitarios/totem-av-las-flores-n-3a-acceso-a-club-house/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-billboard.png,46,Región Metropolitana de Santiago,Santiago,Las Condes,51230.563241,23,8,51374.3490068,98396073.9932
